Id,Score,Summary,Text,FoodSafetyFlag,SemanticScore,SemanticFlagged,DebertaConfirmed,DebertaSafetyScore,DebertaCategory,FinalSafetyScore,ActionStatus,Human_Is_Hazard,Human_Category,Notes
555422,5,Best of the salt substitutes,"I've found Nu-Salt to be a near perfect sodium substitute. The taste is not identical to table salt but it's as close as I've found. In low/moderate quantities I seriously doubt I could tell the difference. It is a simple potassium salt, actually providing 530mg (15% DV) of potassium per serving - more than a banana. So not only are you eliminating sodium, you're also getting potassium, which lowers blood pressure (search, ""potassium blood pressure""). Americans consume less than half the RDA of potassium, but by all means, if you are concerned, ask your Dr.<br /><br />IMO, this is as good as it gets. I like it.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
343463,5,REALLY WORKS!,It works great. You have to wait a day for the packet they give you to mix with the water well but after that it works well. It smells bad so always place it so that the wind blows the smell away from your house AND follow the directions closely.,TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
301275,4,"Fantastic Coffee, BUT...","BEST INSTANT, PERIOD! BUT... I can't drink VIA made according to it's instructions. It's just way, WAY, too strong. (I'm talking seriously stronger than what you get at a local Starbucks.) Let me explain. When I make brewed coffee, I freshly grind beans to a very fine texture, using two or three tablespoons of grounds per 6 ounces of water. So I'm used to a strong cup of coffee. Since one packet of VIA makes even a large mug of water into an un-drinkablly strong brew, I use only half a packet. The problem is, a couple hours later, the left-over half becomes an unusable blob that won't come out of the packet. No great loss... I've had a GREAT cup of coffee, and I can just toss the other half packet, right? Well, acutally, that's a problem for me. I'm of the 'clean your plate / starving kids in Biafra' generation. I would prefer a smaller packet at a smaller price. So one star off from someone who was taught 'waste not, want not' and is too old to change ;-)",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
169732,3,Cookie Crunch Lost in Peanut Butter and Fudge Creme,"A cookie review may initially seem superfluous, until one considers that in this case, we are talking about a spin-off of an edible touchstone. The National Biscuit Company was responsible for products that defined brand identity before marketing suits thought the term up. Animal Crackers and Oreo cookies are not merely mass-produced kids' snacks - they are candy culture icons. Let's leave the animals in their cardboard wheeled-cage and remind ourselves what makes the Oreo legendary.<br /><br />A crisp chocolate cookie that explodes in your mouth like a fistful of gravel - which in more-is-better-America is a good thing - only to be subdued by a generous dollop of stiff, whipped, sweet vanilla-like cream, bound together in a delightful chocolate and vanilla tango of sugary goodness, amid an audible ground-glass crunch. I may just need a cigarette.<br /><br />The new Peanut Butter creme Oreo Fudge creme is a delicious treat, but regrettably, does not live up to the Oreo standard - with a final verdict of:<br /><br />---""Not Enough Cookie""---<br /><br />The chocolate fudge covering, which is slightly waxy in texture but, oh-so-sweet and satisfying in taste, simply overwhelms the cookie layer. And it is not helped by the smooth peanut butter filling, which is equally flavorful as, but more moist than the standard for a Choco/PB fix: the Reese's cup. Sadly, the creamy PB layer and fudge-chocolate envelope combine to neuter the too-thin, chocolate crunch. After the taste, it's all about proportions and texture.<br /><br />Thicken the wafer by half and let's have another go, Nabisco!<br /><br />Also noteworthy is the amount of crush-proof packaging provided for each cookie. Let's just say, the ratio of packaging to cookies is definitely on the rise.<br /><br />Nevertheless, I will undoubtedly eat myself into a stomach-ache unless they are well-hidden, very soon.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
249511,5,a tasty and not too sweet beverage,"The Switch Watermelon Strawberry beverage is a combination of juice from natural concentrate and carbonated water. The makers of this drink emphasize that their beverage has no added sugar and no artificial colors. This is shown also by the list of ingredients which consists of various types of fruit concentrate, sparkling water and some vitamin C. I really enjoyed this drink, it is flavorful but not too sweet. For your information, there are 140 calories in a serving (one container) and there are 36g carbohydrates per serving. If you are looking for a fruit drink that is not too high in calories and carbohydrates you might want to give Switch a try it is pretty good.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
138092,3,Not for dogs and cats,I only gave this product an average since I did not hook it up because I noticed it was for  livestock only so I returned it.  The best part of this transaction was dealing with AMAZON.  They transmitted a UPS return lable within 2 minutes and shipped it off.  Had my ok for refund within 3 days.  Now that's the way to do business.  I'm dealing with AMAZON whenever I can from now on.  No fuss...no muss...no dealing with robot phones.  CONGRATS AMAZON.,TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
196492,5,Cats love this food,"I purchase this cat food via Amazon Marketplace auto delivery.  The savings are amazing and I get to choose how much and when it is delivered, at a marked savings - very important since we have 7 cats and 4 kittens on our property.  They keep away the rodents so I'm glad to treat them to this food which they rush to when they hear the can open.  Check out this food and check out Amazon Marketplace auto delivery!",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
62489,1,Weird taste,"the tea has some strong weird taste, not like the fragrant jasmine tea I use to have.  Contacted seller since the product doesn't have an expiration date, but seller refuse to exchange.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
451569,5,Glad I switched from Science Diet!,"I bought Acana Pacifica cat and dog food for our cat and dog. They were both raised on Science Diet. I thought SD was a good brand. I've noticed my cat eats substantially less with Acana, not because he doesn't like it, which he does, but because Acana seems to keep him satisfied longer. Also, his kitty litter doesn't smell anywhere near as bad as it did with SD. Our dog now eats all his food at once rather than waiting till he is so hungry he has to eat, as he has done for years with SD. Our dog also seems to defecate a lot more easily and his feces is wet. Our dog always had to strain to defecate with SD and his feces started becoming very dry and hard with SD -- that's why I decided to finally research dog and cat food brands. I am really glad I made the decision to switch their food to Acana. Yes, the food is more expensive than SD but they eat less and eat better and do seem happier.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
312625,5,Some really great and some really really bad,"Diet Cranberry Raspberry - The BEST flavor I've tried yet. It's just sweet enough, great flavor, and calorie free. I always have at least three bottles of this in my cabinet at all times.<br /><br />Orange - Very sweet but good. I'm not a fan of orange soda so that's probably the only reason I don't love this.<br /><br />Lemon-Lime - Again, very sweet. It has a good sprite-type flavor though so I went ahead and tried the diet version as well to see if that would be a staple in our house.<br /><br />Diet Lemon-Lime - It's not an all time favorite but it's good. I have a bottle of this usually for whenever I'm craving something different or something a bit more refreshing and I'm tired of plain water.<br /><br />Cream Soda - WAY too strong. I love cream soda and so I didn't expect any issues with it but just the smell when opening the bottle was enough to make me slightly sick to my stomach. And I'm not exaggerating. I actually threw out the entire bottle after one sip. It has an almost alcoholish undertone to it that doesn't help at all. Gross.<br /><br />Root Beer - Not even close to as bad as the cream soda but slightly reminiscent. I did drink the entire sample that came with the Sodastream but do not plan to buy a bottle of it even though I am a huge fan of root beer.<br /><br />Cola - I bought this to act as an emergency back up for when my husband wanted a rum and coke and didn't have any coke in the house. It tastes a bit like off-brand diet cola to me, probably because of the Splenda. This is very off-putting only because there is so many calories in this and you don't even get a calorie-laden taste. Hahaha. This will continue to be held for those emergencies but we won't be drinking it by itself at all.<br /><br />Grape - This one actually surprised me because I was so prepared not to like it. It's a bit on the sweet side but still much better than many others. I've been putting about 1/4th the amount of syrup in less than called for and it helps cut the sweetness a bit but after that it starts to make the flavor taste watered down. I wish I could find a diet version of this. Not sure if it exists or not but I can't find it on Amazon if it does.<br /><br />I'll update this as I try more. I am cautiously optimistic about the diet ginger ale so that will be my next purchase.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
462418,3,kinda expensive for what you get,"When I was a child my Father would always purchase antipasto in a can. It was imported from Italy.<br />It came in a round can it had sardines, capers, anchovies, tuna, olives,peppers,pearl onions.Packed in Olive oil.<br />with a sweet tomato sauce.The can was yellow with a embossed sun image smiling on the top of can.<br />It was delicious. They stopped importing it because the demand in Italy was so high.<br />I was trying to experience the same again with this product!<br />when I opened the can it was full of liquid and had a very bad fish smell.<br />I rinsed the contents off and added olive oil and a bit a ketchup to recreate the same as the Sole brand.<br />It was similar after I doctored it up I'm going to buy the items separatly and make  my own in the future.",TRUE,0.425759852,TRUE,TRUE,0.637027442,Contamination,0.5096,Medium Alert (Manual Review),0,Safe,
342634,5,Real White Chocolate!,"I had purchased these chips because I could not find any white chocolate chips at my local food stores (at least, the most common ones people go to).  So I had to resort to Amazon.  The chips themselves taste amazing and are of great quality.  They are of mini chocolate chip size rather than the normal you see everywhere.  Price is a little steep with shipping, but isn't much worse than the ""white morsel"" stuff that is more commonly available.  I had only wished this was a Prime Eligible or Amazon fulfilled product.",TRUE,0,FALSE,FALSE,0,Not_Evaluated,0,Not Evaluated,0,Safe,
