Id,label,Text
427828,quality_defect,A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.
34322,quality_defect,"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that."
492898,quality_defect,"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!"
469702,quality_defect,"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way."
234761,quality_defect,"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try."
158427,quality_defect,"I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store."
363914,quality_defect,"Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them."
286014,contamination,"I've noticed that with a lot of products on the market today- cereals and snack items like these soynuts, the quality of the food is increasingly subpar, i.e. there are almost always a few grains or other items/detritutus in the package that should not be there. A few of these beans, for example, look like they were dried w/ tiny black spots from dirt or perhaps insects? Some might attribute this to the fact that these beans are a product of China and while I do not think that its origins are the primary source of the problem, it might explain in part the low quality of the edamame. These green babies are tasty enough although the punch of the wasabi is low. Texture is reminiscent of freeze dried food but more solid. For me, the sodium level is just about right but I happen to believe that most products are too salty and that high sodium levels may have as much to do with American's expanding waist lines as HFCS. But back to the product at hand- would I order these again? Maybe, but I am more careful about each bean I pop into my mouth now. As a highly allergy sensitive individual, I can't afford to down bad beans no matter how tiny the black dots are."
38016,quality_defect,I planted mine in a separate area next to my yellow and mixed color sunflowers and they never sprouted. (shrugs)  I wonder if I got an old batch of seeds.
246569,quality_defect,"With a legendary name like Gevalia, I was disappointed to find that the coffee contains artificial flavors.  The outside packaging looks gourmet and epicurean, with gold lettering.  Unfortunately, artificial flavoring also plainly occupies the front face.<br /><br />The aroma from the coffee is quite pleasant, however, after brewing, the coffee itself is nothing to write home about.  In fact, it tasted rather bitter.<br /><br />I would not buy this item."
331114,quality_defect,This was gross. No other way to describe it. The pasta is horrible. There are so many other pasta options. Do not waste your money or taste buds on this.
160034,quality_defect,"I grew up getting jelly rings from the dept store candy counters, but they are increasingly hard to find.  I ordered these hoping they would be the same, but they are not.  These are a dark chocolate (I'm not a fan of dark chocolate), and even taste a little old or stale.  The raspberry filling is not as sweet as I expected either."
280021,quality_defect,"I was definately expecting a better product from earth's best. However, these biscuits were not good at all. My son who only has 2 teeth broke these very easily. I will not be buying them again."
387636,quality_defect,"These pods do not fit in the Senseo machines. The lid will not shut with just a single pod in the holder. My husband did manage to shut the lid but then the coffee leaked out the sides of the machine because the seal couldn't properly close around the pod. Packaging says ""Fits all coffee pod brewers!"" and it is a total lie."
183207,quality_defect,I bough this as a stocking stuffer gift for Christmas. Was very disappointed in how tiny the item actually was. Felt item had been overpriced once received. Also felt item's shipping cost was overpriced for an item that was so small and shipped in a small envelope.
360547,quality_defect,"My family loves this soda.  We sometimes buy it from a nearby grocery store.  HOWEVER,  I had it shipped from Amazon and it is no good.  I believe that somewhere in the process of getting to my home the Zevia Orange may be getting too hot.  It was very hot weather the first time it was shipped to me.  It really tastes weird...not like when we buy if off the shelf.  I tried again in cold weather this time and though it's not as bad, it is still no good. It has an odd bite to it that I assume comes from it getting too warm.  It alters the beverage and cooling it in the frig does not reverse it."
6299,quality_defect,"Too soft: I just used this sugar to bake one of the layers for a firm pound cake-like layer cake intended for decoration (Wilton Butter cake recipe). This is a pretty hardy cake and can stand up to changes in temperature etc and still turn out well. I had already baked several of the layers with regular granulated sugar before I ran out and decided to use some of this baking sugar. Be forewarned, this sugar makes cakes far too tender. The layer literally fell apart coming out of the pan and it was well cooled and in a pan liberally covered in cake release. Even when I was mixing the batter, it for some reason stuck to my stainless bowl and was impossible to scrape entirely out. I'm sure this is good for meringues and such, but I would never attempt to use it again for a cake or even cookies. You would never get them out of or off the pan."
47621,quality_defect,"I ordered this teabag sampler after trying a pomegranate tea of this same brand. The item reached me very quick after ordering but, these tea bags are really a waste of money. Not at all satisfied with them. They don't have that aroma you would expect from a premium green teas. I would never buy this again."
356307,illness,On the good side it helps me with nighttime leg cramps.<br />On the bad side it gives me diarrhea.<br />Trying to change the amount to see if I can lessen the bad results...
248446,quality_defect,"I bought this because I would buy Kirkland (Costco's brand) instant mac 'n' cheese and almost always only use the cheese powder as a quick way to make mac n cheese with my favorite pasta. When it came in the mail (quick shipping), I noticed that it has no packaging date, sell by date, or expiration date. I found that a little odd and was iffy to use it but tried it out anyway. From reading other reviews that it tasted similar to them as using store brand powdered cheese, I made my recipe with the usual amount of pasta and put an equal amount of cheese powder as the box would have. It tasted bland to me and my boyfriend. We added more powder but still nothing much. Then some salt this time and it was a TAD bit better but not much. Given the vague packaging of this product and the bland taste of the powder, I'll stick with using individual boxes of mac n cheese powder."
241670,quality_defect,"This product's ingredient profile on the Earth's Best website does not list ""Syrup Solids""; however, buyers should be aware that the formula has recently changed to now include this ingredient.  Their website has not yet been updated to reflect this (as of 7/18/2010).<br /><br />I spoke with their consumer relations department and asked them to update their website since the misinformation is misleading to consumers.  The change in ingredient profile to include syrup solids is disappointing.  I am now researching other formulas."
553130,quality_defect,"The proportions on the back are vague, didn't ferment well. I even put it in the proof cycle in the oven to help it along. I've had better luck with other brands...."
476563,quality_defect,"I'm used to buying 12 poptarts for $2.89 in my area (Tennessee) so I thought 36 for $6.70 from Amazon was a slightly better deal with the prime free shipping. Well, it would have been if the poptarts tasted fresh and as good as they do when I buy them from the grocery store. They're not packaged in tinfoil like they are at my grocery store, they just don't taste the same. They'll do and I'll eat them, but I won't be buying them from amazon again, especially since the price has increased to $18 at this writing!"
265491,quality_defect,This is a great product -- for my super picky family it is perfect.  One son loves the iced cookies and the other likes the plain ones -- it's great for all of us who have a variety of eaters.  My reason for one minus on the score was that the cookies arrived melted -- though it's probably my fault for ordering these in the middle 100 degree days -- keep that in mind when you are ordering.  Overall a great product and I love the snack size.  It's great that Amazon offers these items.
375256,quality_defect,"I bought these caramels because I needed a treat that is individually wrapped (they stand along side Jolly Ranchers and Starbursts!)  They taste great; creamy and delicious.  If caramels run into a problem it's generally that they're too hard and chewy.  Not these caramels!  Not sure what else can be said about their actual taste.  All is as it should be.<br /><br />Each caramel is approximately 3/4"" x 3/4"" x 1/2"" and the entire 5 pound bag displaces approximately 1.5 gallons of space.<br /><br />They arrived in a rectangle flat box sealed in a plastic bag with a label that has a bar code (X0003AQ51L) and the text ""Caramel Squares 5lb"" and ""New"", though no date... This is the reason for the one star deduction as I believe nutritional info, ingredients, born on/exp date should have been provided.<br /><br />Seems a good product, a pity the seller didn't do more to stand beside it."
61167,quality_defect,"They taste fantastic but it seems like the paper-thin chocolate layer is so thin that the shipping process just made the cookies crumble; even the ones that were not broken up by the shipping fell apart when I took a bite. The taste is still great, rich creamy chocolate, tasty marshmallow and crunchy cookie all make for a fantastic Mallomar."
290091,quality_defect,"Pops big, tastes great, but the hulls are huge! (Expensive)  I Feel like a dog with peanut butter on my tongue trying to get rid of the hulls that suction cupped to the back of my tongue.  Wanted to try mushroom popcorn, because it looks so tasty, but will stick with standard popcorn from now on."
253967,illness,"I think I received a bad batch( there's no expiration date).  Tried one---made me a bit queasy afterwards; like a fool I tried another( a few days later), this time w/o the mustard/mayo, and felt sick again.  These have probably been sitting on the shelf in a sweltering warehouse for quite some time, which can't be good for the mustard/mayo or the oily soy sauce pack.  That aside, they don't taste too bad actually but nowhere near as good as the other reviews would suggest.  I ordered a couple other Myojo ramen and they seemed fine, so I'm guessing it's just the luck of the draw---ordering food products from Amazon is something of a crapshoot( I've had stale popcorn delivered too)."
467458,quality_defect,"After recently discovering a gluten intolerance I have been struggling to find things that I can take for lunch that actually satisfy my hunger.  I have tried other gluten free products and have been disappointed with quite a few.  These crackers were a pleasant surprise.  Many in the package were broken when they arrived, but that does not make them inedible.  I think they break so easily due to the fact that they are ""dry"" in texture.  Keep this in mind when buying and make sure to top these crackers with cheese or some other type of spread."
124490,quality_defect,Absolute rip off - I was NOT sent the item as stated and pictured.  I was sent the Creme Latte; which you can purchase at your local supermarket for $6.50.<br /><br />I did not want the Maxwell House Creme Latte; I wanted the original Maxwell House Latte.<br /><br />They are now arguing via email with me; even though my order quite clearly states the product shown for sale here.<br /><br />Be warned - do not buy!
510478,quality_defect,"I'm not sure if the four I purchased were from a bad batch or what, but the product had no effect on me whatsoever. I have tried the blue lotus 50:1 tablets and was very satisfied. I thought a liquid blue lotus would be absorbed better by the body, thus a better effect. It was quite the opposite. You live and you learn I guess, but I wouldnt try this product again unless it was free."
541718,quality_defect,"I liked everything about this chip except they are too salty...  I accomodated by making my gracamole, and other dips salt free.  Balanced them out.  Texture is wonderful, great corn taste.  I brush excess salt off with a paper towel if I just want to snack dip free.  I won't buy again simply because I don't need 12 bags to have to ""clean"" before eating.  I will try their salt or low salt varieties though as it really is a stellar chip on it's own."
545843,illness,"I got 2 medium size puppies from a rescue place and needed something for them to keep busy.  Loved these things at first because the dogs loved them and they lasted quite a while.  But after the pups started getting bigger, they didn't last as long and even though these are cheaper than alot of bully sticks out there, it was costing me a fortune.  Also I came to realize that these things tend to give the dogs the runs so I quit buying."
107687,quality_defect,"After ordering these for 3 years for my dog, they sent a different brand distributed by Radio Systems Corp, Made in China.  Granted, when I look at what's remaining of my last package of Premier Busy Buddy Gnawhide Refil Ring (as advertised), it also was made in China.  It just annoys me that they have changed their distributor/manufacturer.......and haven't changed what they advertise they are selling. I will return these and find another company to order from.  Perhaps Premier Busy Buddy Gnawhide rings no longer exist and I'll have to find another favorite treat for my beloved dog.  Buyer Beware"
280403,quality_defect,"With hundreds (if not thousands) of coffee brands and/or types, it's tough to choose one, especially online without tasting.  I took a shot at Community Coffee's whole-bean French Roast.  I bought a Hamilton Beach coffee bean grinder, so I refuse to buy pre-ground coffee.  Psychologically, doing so would negate the value that the coffee-bean grinder would provide to me.<br /><br />With that aside, 2 of the 3 bags of coffee that came in the package were shrink-wrapped, meaning that you could see the shapes of the coffee beans through the package since it was vacuum sealed.  The other package was loose, like you'd see at your typical grocery store. I'm pretty sure it didn't effect the quality of the brew, but it's just something that I noticed.<br /><br />Moving on to the bottom line here: the coffee tastes good, but might be too strong for some.  I'm used to good 'ole McDonald's coffee, which to me, is decent.  I like Peet's and various Sumatra blends from Coffee Bean and Starbucks, but herein lies the issue with choosing coffee: how do you know how strong a particular coffee is going to be?  A solid solution would be to rate the coffee on a scale of 1-10, 1 being weak and 10 being super-strong.  In using this guideline, I'd rate this coffee a 10 in terms of strength.  It's great early in the morning when you need a quick jolt of caffeine, but not-so-good in the afternoon or evening.<br /><br />Anyhow, this was worth a shot...I plan on ordering more Community Coffee, just a weaker blend."
170530,quality_defect,"We fell in love with Popcornopolis when we first tried it at a Blockbuster store... however the price<br />was pretty steep for the small cone that you got... so I looked it up on Amazon and lo and behold here<br />it be!  This popcorn is unreal... if you like pecans and caramel popcorn you will LOVE this. I still<br />have a hard time figuring out how they make it so good but whatever they are doing they are doing it<br />right!  It is fresh and crunchy - PERFECT for a late night snack and a cuppa decaf coffee, feels like<br />you are eating something super sinful yet it isn't too bad for ya.<br />Can't beat the price either! I sent this to my mother in law as her mothers day gift and she was super<br />thrilled - she actually hinted to us that she wanted this because we had sent them a 5 pack sampler and<br />this one was her favorite.<br />She said she hid them where noone else can find them.<br />Hope this review helps.... I am also in hopes that the chocoloate zebra will be available on Amazon too...<br />That one is amazing as well  :0)<br />PS: The cheese one is softer and kind of stale even though the flavor IS something to write home about -<br />don't get it unless you don't mind it stale-ish. Also the husks can get annoying in the cheese kind."
45718,quality_defect,"It is a raw, cold day in Michigan today, the perfect time to try the Gold Kili All Natural Instant Ginger & Lemon Beverage Beverage. My first concern was that the directions are in ml instead of oz...so there had to be a math lesson before I could make the drink. That accomplished the steamy drink smelled so delicious. I was sure it would taste as good as it smelled and never even thought about adding a sweetner. The first sip was awful....it didn't taste at all lemony like it smelled. I can't identify the taste but do know my mouth and throat felt an unpleasant,almost stinging sensation. So, I added some sugar. The second and third sip were slightly better, but the stinging sensation was still there and the aftertaste did not go away quickly. The rest of the drink went down the sink drain....it was definitely not my cup of ""tea""."
42911,illness,"I admit that I am not a big dark chocolate fan. I first noticed that the chocolate does not have that sharp bitter taste that most dark chocolate has. Then again, it doesn't really have any taste. By the time I was done eating the chocolate bar, I kind of felt like I ate some wax. From there it did not agree with my system. It might be organic and dark chocolate, but give me a Hershey's bar any day.<br /><br />Shawn Kovacich<br />Author of the Achieving Kicking Excellence book and DVD series."
396098,quality_defect,"Between my children and myself we eat a box of little bites every couple days.  I love the flavor and texture of this cereal and it is pretty healthy too.  For my kids this cereal is a treat, (I don't allow junk cereal in the house).  At the local grocery store it is over $3.50 a box.  I enrolled in auto ship and it is closer to $2 a box.  Be prepared though, there is a little more breakage to the product than when I buy at the grocery store but for the price I don't mind, that is the reason for the four star rating."
373391,quality_defect,"I am an avid tea drinker who turned to the drink after realizing my body can't really tolerate coffee. I enjoy Rooibos on occasion and use it for chai when serving to people who are sensative to caffine.<br /><br />One important point about Rooibos is that it isn't technically tea it doesn't come from the Camellia Sinensis fmaily and therefore is considered an herbal.  It's a common mistake to label things which aren't true tea as teas, but a bigger mistake would be to label this ""espresso"".<br /><br />The only thing Red Espresso has in common with Espresso (aside from how you may chose to prepare it) is how it is ground.  When dealing with herbals and teas the more surface area that the water has contact with when you brew it, the more bitter the resulting beverage. With Red Espresso, rather than getting a sweet and clean tasting beverage, that you'd get from traditionally prepared rooibos, you get one which is much more bitter and sharp.<br /><br />I tried preparing this tea a number of different ways and found it took a lot to get the water to grounds ratio right. With only one exception I was never quite pleased with the resulting beverage.  The best luck I had with Red Espresso was to put it on the stovetop in water and then add chai spices to the mix, drain through a strainer and then adding milk and sweetner.<br /><br />I recognize people will turn to products like this for the health benefits, but I think they'll be disappointed with the experience of drinking this like coffee. For a much better coffee substitute I recommend Choffy which approximates the taste of coffee much closer.<br /><br />But if you're looking to give up your regular cup-o-joe for tea, this isn't the way to go. You'd be much better served picking up some Yunnan Gold or an Assam black tea, brewing it strong and adding milk and sweetener (if desired). If you're set on rooibos then look for the full unground needles to use to brew a much more pleasant cup."
228774,quality_defect,"Used to eat the Spicy Thai flavor all the time.  MSG makes my body unhappy and this was one of the few flavored chips that was MSG free.  Now they have changed the whole recipe and how they make them.  Instead of being real food on the ingredients like it used to be its mostly processed chemical garbage, a bunch more salt and MSG stuffed in under the label ""yeast extract"".  They removed the NO MSG from the label so they know very well what they did.<br /><br />The worst part though is that they taste horrible.  Instead of crisp, oily and full of character...say as if they were cooked in like...a kettle or something they instead have the color and uniformity of baked lays.  The Spicy Thai flavor now tastes like sour cream and onion or ranch that has gone rancid.<br /><br />What a shame, no more kettle chips for me.  It seems they are slowly moving one flavor at a time to this new cheap ingredient list and manufacturing method.  Dont be fooled into paying a premium price for these chips as they are not a premium product anymore."
127362,quality_defect,"If you like dark, bold and strong coffee, you will not like Marley Coffee & Tea One Love Organic Coffee.  The product is packaged in convenient one cup serving packets, but it's very weak and almost tasteless.  It took at least two packets to make one half way decent cup of coffee.  Therefore, unless you like watery coffee, I would not recommend that you purchase this product."
58567,quality_defect,"This stuff tastes worse that the juice from the olive jar. Oversalted, overpowering taste. To top it all off, I sliced my thumb open trying to pull the little string to get the foil off the top. It was wrapped poorly - the tab you're supposed to pull tore off. Save your $12 (including shipping) and get something else!"
121980,quality_defect,We just switched our English Bulldog from bulldog food to this food because she has a bad rash and we can't seem to get rid of it. The person that sold us the dog recommended it. I don't really think it was caused from her food but everyone tells me to switch her food so we are trying this out.  The only thing I don't like too much about this food is that the pieces are quite small and harder for my dog to pick up so they get all over the floor.  She seems to be eating it and we will have to wait and see what happens.  Everything I read about caring for an English Bulldog seems to point to food for everything and this looks like it should be good for our dog.
472710,quality_defect,"This coffee is moderate in flavor (not to weak, not too strong) and I would recommend it to coffee drinkers who want a flavor in that range. It is ""coffee flavored coffee"", in other words, no fancy flavoring. Being organic, it is (hopefully) sans all of the nasty chemicals that tend to get added. I want to note I used it unconventionally. I cut the packets open and ran it through a regular coffee maker. Five packets for a 12 cup pot. Came out just fine doing that. If you're looking for organic coffee, this one will do nicely.<br /><br />My only real issue is the packets do not have an easy open to get the little coffee bag out. I had to use scissors. That might make you mad if you're jonesing for that cup of coffee to wake up in the morning."
291667,quality_defect,"Corn Nuts are delicious, enjoyable and addictive. However, I have TWICE broken teeth with them, including today. Do not mindlessly chomp away at these snacks. I'm not being overly zealous with my suggestion that you only eat a few at a time and let them soften in your mouth before chewing too forcefully. This is the only food that has broken a tooth and it has twice!"
282922,quality_defect,"The assortment and taste is very good, but they were order and delivered in the Summer and they smell like they were in a fire.  It doesn't affect the taste, but the smoke smell is very noticeable.  Maybe they shouldn't be sent in hot weather or should be packed differently."
421011,spoilage,"I recently tried the five pack Wabash ""Real theater popcorn.""  When cooking, there is a very off smelling aroma emanating from my popper.<br />So?  I tried Paragon popcorn oil in place of the Wabash product and had no more ""smelly"" issues.  Neither product offers much in the way of actual product content.  Hydrogenated or non-hydrogenated coco oil?  The latter better than the former....both not so good, anyway.<br />If you pop corn once in a while with Paragon + flavacol, you will not go wrong.  I wouldn't consume this combo very often, like maybe once or twice a month?.......by the same token, just like eating fat laden prime rib, potato chips, hotdogs, all the good stuff, is bad for your cholesterol lol.<br />Sadly all the snacks and fast foods we enjoy.....sucks.<br />C'est la vie."
331974,spoilage,"and THAT is  the problem. I order these by the case of 12 - and when they are good, which is over half the time they are the BEST kettle chip, THE BEST! and then I get a case of the worse - the potatos are mealy and old so I just throw them out and order again, expensive BUT when they are made with good fresh potatos they are the best - the last case is what prompted me to write this - the potatos were weird - like they were almost sour as in going bad - and I even wrote the company that makes them - SO if you want the BEST kettle chip there is try these and if the ones you get are NOT the best try again!<br />I, myself am done ordering because it is creeping me out that they are using soured potatos and either not noticing or not caring."
350445,quality_defect,"These marvelous cookies remind me of ones that my Mother used to make.  I could never duplicate them, even with her recipe and directions.  She called them ""Moravian"" cookies.  I hope they will continue to be available.  The only problem was that some were broken when they arrived."
327158,quality_defect,"Although this product arrived quickly and well-packaged, it was not the best tasting marzipan that I have ever had.  To be fair, however, it was not the worst I've had either.  My main complaint is that there was little almond flavor to the pieces, which is, of course, the reason you buy marzipan!  But if you want marzipan at a very reasonable price and are not too picky about the taste, this product will suffice."
405735,quality_defect,"I got this and wanted to try it out and the price was right!  Wow - the taste is sub-par and does taste like something you would find at a gas station dispenser!<br /><br />When I was reading the nutrition facts I noticed that it had 80 calories per serving (not a big deal), I then scanned down and saw that it has 23% of your daily saturated fat!!  Wow!  When I read through the ingredient list the first ones are: Partially hydrogenated vegetable oil, sugar, corn syrup solids, and then instant coffee and some others.  I'm not health nut both those things don't sound that healthy to me and I can see where the saturated fat is coming from!"
540450,quality_defect,"This candy was shipped from Diabetic Friendly and was advertised as sugar free. I bought this for my diabetic uncle as a present, and it ended up having tons of sugar. Ridiculous."
214080,spoilage,"oredered some, the ones i got were past date and stale, some packages were open. so not gonna buy food from here again"
